Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D_Small","D_SOD-123",29.368750,-53.181250,90.000000,bottom
"D2","D_Small","D_SOD-123",48.418750,-53.181250,90.000000,bottom
"D3","D_Small","D_SOD-123",67.468750,-53.181250,90.000000,bottom
"D4","D_Small","D_SOD-123",86.518750,-53.181250,90.000000,bottom
"D5","D_Small","D_SOD-123",105.568750,-53.181250,90.000000,bottom
"D6","D_Small","D_SOD-123",124.618750,-53.181250,90.000000,bottom
"D7","D_Small","D_SOD-123",143.668750,-53.181250,90.000000,bottom
"D8","D_Small","D_SOD-123",162.718750,-53.181250,90.000000,bottom
"D9","D_Small","D_SOD-123",181.768750,-53.181250,90.000000,bottom
"D10","D_Small","D_SOD-123",200.818750,-53.181250,90.000000,bottom
"D11","D_Small","D_SOD-123",219.868750,-53.181250,90.000000,bottom
"D12","D_Small","D_SOD-123",238.918750,-53.181250,90.000000,bottom
"D13","D_Small","D_SOD-123",257.968750,-53.181250,90.000000,bottom
"D14","D_Small","D_SOD-123",286.543750,-53.181250,90.000000,bottom
"D15","D_Small","D_SOD-123",34.131250,-72.231250,90.000000,bottom
"D16","D_Small","D_SOD-123",57.943750,-72.231250,90.000000,bottom
"D17","D_Small","D_SOD-123",76.993750,-72.231250,90.000000,bottom
"D18","D_Small","D_SOD-123",96.043750,-72.231250,90.000000,bottom
"D19","D_Small","D_SOD-123",115.093750,-72.231250,90.000000,bottom
"D20","D_Small","D_SOD-123",134.143750,-72.231250,90.000000,bottom
"D21","D_Small","D_SOD-123",153.193750,-72.231250,90.000000,bottom
"D22","D_Small","D_SOD-123",172.243750,-72.231250,90.000000,bottom
"D23","D_Small","D_SOD-123",191.293750,-72.231250,90.000000,bottom
"D24","D_Small","D_SOD-123",210.343750,-72.231250,90.000000,bottom
"D25","D_Small","D_SOD-123",229.393750,-72.231250,90.000000,bottom
"D26","D_Small","D_SOD-123",248.443750,-72.231250,90.000000,bottom
"D27","D_Small","D_SOD-123",267.493750,-72.231250,90.000000,bottom
"D28","D_Small","D_SOD-123",291.306250,-72.231250,90.000000,bottom
"D29","D_Small","D_SOD-123",36.512500,-91.281250,90.000000,bottom
"D30","D_Small","D_SOD-123",62.706250,-91.281250,90.000000,bottom
"D31","D_Small","D_SOD-123",81.756250,-91.281250,90.000000,bottom
"D32","D_Small","D_SOD-123",100.806250,-91.281250,90.000000,bottom
"D33","D_Small","D_SOD-123",119.856250,-91.281250,90.000000,bottom
"D34","D_Small","D_SOD-123",138.906250,-91.281250,90.000000,bottom
"D35","D_Small","D_SOD-123",157.956250,-91.281250,90.000000,bottom
"D36","D_Small","D_SOD-123",177.006250,-91.281250,90.000000,bottom
"D37","D_Small","D_SOD-123",196.056250,-91.281250,90.000000,bottom
"D38","D_Small","D_SOD-123",215.106250,-91.281250,90.000000,bottom
"D39","D_Small","D_SOD-123",234.156250,-91.281250,90.000000,bottom
"D40","D_Small","D_SOD-123",253.206250,-91.281250,90.000000,bottom
"D41","D_Small","D_SOD-123",284.162500,-91.281250,90.000000,bottom
"D42","D_Small","D_SOD-123",41.275000,-110.331250,90.000000,bottom
"D43","D_Small","D_SOD-123",72.231250,-110.331250,90.000000,bottom
"D44","D_Small","D_SOD-123",91.281250,-110.331250,90.000000,bottom
"D45","D_Small","D_SOD-123",110.331250,-110.331250,90.000000,bottom
"D46","D_Small","D_SOD-123",129.381250,-110.331250,90.000000,bottom
"D47","D_Small","D_SOD-123",148.431250,-110.331250,90.000000,bottom
"D48","D_Small","D_SOD-123",167.481250,-110.331250,90.000000,bottom
"D49","D_Small","D_SOD-123",186.531250,-110.331250,90.000000,bottom
"D50","D_Small","D_SOD-123",205.581250,-110.331250,90.000000,bottom
"D51","D_Small","D_SOD-123",224.631250,-110.331250,90.000000,bottom
"D52","D_Small","D_SOD-123",243.681250,-110.331250,90.000000,bottom
"D53","D_Small","D_SOD-123",279.400000,-110.331250,90.000000,bottom
"D54","D_Small","D_SOD-123",31.750000,-129.381250,90.000000,bottom
"D55","D_Small","D_SOD-123",55.562500,-129.381250,90.000000,bottom
"D56","D_Small","D_SOD-123",79.375000,-129.381250,90.000000,bottom
"D57","D_Small","D_SOD-123",150.812500,-129.381250,90.000000,bottom
"D58","D_Small","D_SOD-123",222.250000,-129.381250,90.000000,bottom
"D59","D_Small","D_SOD-123",246.062500,-129.381250,90.000000,bottom
"D60","D_Small","D_SOD-123",269.875000,-129.381250,90.000000,bottom
"D61","D_Small","D_SOD-123",293.687500,-129.381250,90.000000,bottom
